year,nh_occ_group,status,n,workers,group_total,share
2018,Management,Native-born citizens,1034,100406,114797.49274221867,0.8746358269815595
2018,Management,Legal immigrants,116,13396,114797.49274221867,0.11669244405956786
2018,Management,Illegal immigrants,7,995.4927422186778,114797.49274221867,0.008671728958872714
2018,All other occupations,Native-born citizens,1869,173419,195949.83215362742,0.8850173439497364
2018,All other occupations,Legal immigrants,164,20368,195949.83215362742,0.10394497293588495
2018,All other occupations,Illegal immigrants,16,2162.8321536274275,195949.83215362742,0.011037683114378668
2019,Nursing/psych/home health aides,Native-born citizens,4823,523403,651109.3819200181,0.8038633976622602
2019,Nursing/psych/home health aides,Legal immigrants,816,105663,651109.3819200181,0.16228148900023004
2019,Nursing/psych/home health aides,Illegal immigrants,143,22043.381920018077,651109.3819200181,0.03385511333750966
2019,Registered nurses,Native-born citizens,2385,215936,268096,0.8054428264502268
2019,Registered nurses,Legal immigrants,464,52160,268096,0.19455717354977323
2019,Registered nurses,Illegal immigrants,0,0,268096,0
2019,LPNs/LVNs,Native-born citizens,1765,175025,212635,0.8231241329038023
2019,LPNs/LVNs,Legal immigrants,294,37610,212635,0.1768758670961977
2019,LPNs/LVNs,Illegal immigrants,0,0,212635,0
2019,Personal care aides,Native-born citizens,695,79676,106650.97947995251,0.7470723699727195
2019,Personal care aides,Legal immigrants,150,21031,106650.97947995251,0.19719462589608244
2019,Personal care aides,Illegal immigrants,40,5943.979479952516,106650.97947995251,0.05573300413119809
2019,Other healthcare practitioners,Native-born citizens,998,99296,117728.50698308005,0.8434320840768909
2019,Other healthcare practitioners,Legal immigrants,169,17734,117728.50698308005,0.150634714178009
2019,Other healthcare practitioners,Illegal immigrants,6,698.5069830800452,117728.50698308005,0.005933201745100146
2019,Other healthcare support,Native-born citizens,619,62207,69213.87979818512,0.8987648168457556
2019,Other healthcare support,Legal immigrants,48,5656,69213.87979818512,0.08171771350619053
2019,Other healthcare support,Illegal immigrants,9,1350.8797981851292,69213.87979818512,0.0195174696480539
2019,Food preparation & serving,Native-born citizens,1114,115841,135487.51045284205,0.8549939371741557
2019,Food preparation & serving,Legal immigrants,121,15266,135487.51045284205,0.11267459228512065
2019,Food preparation & serving,Illegal immigrants,31,4380.510452842039,135487.51045284205,0.032331470540723564
2019,Building cleaning & maintenance,Native-born citizens,1050,103782,128787.03704455851,0.8058419727762887
2019,Building cleaning & maintenance,Legal immigrants,156,20481,128787.03704455851,0.15902998057882067
2019,Building cleaning & maintenance,Illegal immigrants,36,4524.037044558516,128787.03704455851,0.035128046644890686
2019,Office & administrative support,Native-born citizens,906,82962,95169.18438875458,0.8717317536431781
2019,Office & administrative support,Legal immigrants,94,11497,95169.18438875458,0.12080591079814396
2019,Office & administrative support,Illegal immigrants,9,710.1843887545784,95169.18438875458,0.007462335558677915
2019,Management,Native-born citizens,1082,105185,117891.38506461965,0.8922195624586571
2019,Management,Legal immigrants,92,10952,117891.38506461965,0.09289906971571243
2019,Management,Illegal immigrants,11,1754.3850646196588,117891.38506461965,0.0148813678256306
2019,All other occupations,Native-born citizens,1855,166988,189277.41933925464,0.8822394165291116
2019,All other occupations,Legal immigrants,159,19291,189277.41933925464,0.10191918332013733
2019,All other occupations,Illegal immigrants,18,2998.4193392546445,189277.41933925464,0.015841400150751084
2020,Nursing/psych/home health aides,Native-born citizens,3940,503663,627845.3830288185,0.8022086545739264
2020,Nursing/psych/home health aides,Legal immigrants,666,104750,627845.3830288185,0.16684044006928997
2020,Nursing/psych/home health aides,Illegal immigrants,113,19432.383028818505,627845.3830288185,0.030950905356783593
2020,Registered nurses,Native-born citizens,1949,222378,278062,0.7997425034704491
2020,Registered nurses,Legal immigrants,387,55684,278062,0.20025749652955097
2020,Registered nurses,Illegal immigrants,0,0,278062,0
2020,LPNs/LVNs,Native-born citizens,1247,146148,174763,0.836263968917906
2020,LPNs/LVNs,Legal immigrants,197,28615,174763,0.16373603108209403
2020,LPNs/LVNs,Illegal immigrants,0,0,174763,0
2020,Personal care aides,Native-born citizens,637,80463,102682.21920397603,0.7836118134548882
2020,Personal care aides,Legal immigrants,104,16460,102682.21920397603,0.16030039209906988
2020,Personal care aides,Illegal immigrants,27,5759.2192039760275,102682.21920397603,0.056087794446041936
2020,Other healthcare practitioners,Native-born citizens,856,103145,122632.93882060365,0.8410872396272585
2020,Other healthcare practitioners,Legal immigrants,118,18684,122632.93882060365,0.1523571087808008
2020,Other healthcare practitioners,Illegal immigrants,6,803.9388206036556,122632.93882060365,0.00655565159194069
2020,Other healthcare support,Native-born citizens,436,52473,59844.13655346695,0.8768277566026655
2020,Other healthcare support,Legal immigrants,49,5858,59844.13655346695,0.09788761835950707
2020,Other healthcare support,Illegal immigrants,6,1513.1365534669515,59844.13655346695,0.02528462503782738
2020,Food preparation & serving,Native-born citizens,1035,128081,145161.5893343746,0.8823339602942065
2020,Food preparation & serving,Legal immigrants,92,13141,145161.5893343746,0.0905267024166439
2020,Food preparation & serving,Illegal immigrants,18,3939.589334374609,145161.5893343746,0.027139337289149565
2020,Building cleaning & maintenance,Native-born citizens,899,106623,131041.87271470063,0.8136559543233599
2020,Building cleaning & maintenance,Legal immigrants,119,19616,131041.87271470063,0.1496926104124535
2020,Building cleaning & maintenance,Illegal immigrants,31,4802.872714700626,131041.87271470063,0.036651435264186565
2020,Office & administrative support,Native-born citizens,785,83683,91045.60117694562,0.919132818260637
2020,Office & administrative support,Legal immigrants,66,6361,91045.60117694562,0.06986608817747825
2020,Office & administrative support,Illegal immigrants,6,1001.6011769456221,91045.60117694562,0.011001093561884738
2020,Management,Native-born citizens,845,96112,107433.7946784339,0.894616077628815
2020,Management,Legal immigrants,82,9679,107433.7946784339,0.09009269410031319
2020,Management,Illegal immigrants,15,1642.794678433895,107433.7946784339,0.015291228270871707
2020,All other occupations,Native-born citizens,1564,180325,203517.25849187392,0.8860427923226966
2020,All other occupations,Legal immigrants,153,20551,203517.25849187392,0.10097915111617212
2020,All other occupations,Illegal immigrants,15,2641.2584918739076,203517.25849187392,0.012978056561131244
2021,Nursing/psych/home health aides,Native-born citizens,4321,458962,570541.5617100893,0.8044321935536985
2021,Nursing/psych/home health aides,Legal immigrants,762,94642,570541.5617100893,0.1658809915903912
2021,Nursing/psych/home health aides,Illegal immigrants,104,16937.56171008937,570541.5617100893,0.029686814855910345
2021,Registered nurses,Native-born citizens,2233,211669,264294,0.8008846209145876
2021,Registered nurses,Legal immigrants,462,52625,264294,0.19911537908541246
2021,Registered nurses,Illegal immigrants,0,0,264294,0
2021,LPNs/LVNs,Native-born citizens,1431,142672,173068,0.824369611944438
2021,LPNs/LVNs,Legal immigrants,256,30396,173068,0.17563038805556197
2021,LPNs/LVNs,Illegal immigrants,0,0,173068,0
2021,Personal care aides,Native-born citizens,655,76524,107621.42400469238,0.711048015836173
2021,Personal care aides,Legal immigrants,183,25860,107621.42400469238,0.24028672951653643
2021,Personal care aides,Illegal immigrants,50,5237.424004692379,107621.42400469238,0.04866525464729051
2021,Other healthcare practitioners,Native-born citizens,986,100742,117617.73610525149,0.8565204818246964
2021,Other healthcare practitioners,Legal immigrants,140,16138,117617.73610525149,0.13720719794809466
2021,Other healthcare practitioners,Illegal immigrants,8,737.7361052514918,117617.73610525149,0.006272320227208937
2021,Other healthcare support,Native-born citizens,495,51264,57964.713917445006,0.8844001209599973
2021,Other healthcare support,Legal immigrants,54,5149,57964.713917445006,0.08882990447142294
2021,Other healthcare support,Illegal immigrants,9,1551.713917445005,57964.713917445006,0.02676997456857978
2021,Food preparation & serving,Native-born citizens,1057,106296,125287.0545185467,0.8484196584273965
2021,Food preparation & serving,Legal immigrants,143,16586,125287.0545185467,0.1323839886230601
2021,Food preparation & serving,Illegal immigrants,26,2405.054518546699,125287.0545185467,0.019196352949543322
2021,Building cleaning & maintenance,Native-born citizens,925,93736,116385.54583666242,0.8053921071225699
2021,Building cleaning & maintenance,Legal immigrants,166,18253,116385.54583666242,0.15683218967427956
2021,Building cleaning & maintenance,Illegal immigrants,34,4396.545836662429,116385.54583666242,0.037775703203150504
2021,Office & administrative support,Native-born citizens,935,88354,97928.6866643404,0.9022279682238716
2021,Office & administrative support,Legal immigrants,84,8315,97928.6866643404,0.08490872575980139
2021,Office & administrative support,Illegal immigrants,9,1259.6866643404128,97928.6866643404,0.012863306016327012
2021,Management,Native-born citizens,997,101048,112515.81904420214,0.8980781623275836
2021,Management,Legal immigrants,105,10995,112515.81904420214,0.09771959261728863
2021,Management,Illegal immigrants,3,472.81904420214835,112515.81904420214,0.00420224505512776
2021,All other occupations,Native-born citizens,1704,156530,175380.88945591383,0.8925145749095289
2021,All other occupations,Legal immigrants,160,16109,175380.88945591383,0.09185151272738516
2021,All other occupations,Illegal immigrants,22,2741.8894559138253,175380.88945591383,0.01563391236308597
2022,Nursing/psych/home health aides,Native-born citizens,3960,408303,514683.40778102924,0.7933090397460636
2022,Nursing/psych/home health aides,Legal immigrants,720,92909,514683.40778102924,0.180516796530437
2022,Nursing/psych/home health aides,Illegal immigrants,117,13471.407781029216,514683.40778102924,0.026174163723499306
2022,Registered nurses,Native-born citizens,2360,207147,261299,0.7927584874033196
2022,Registered nurses,Legal immigrants,460,54152,261299,0.20724151259668044
2022,Registered nurses,Illegal immigrants,0,0,261299,0
2022,LPNs/LVNs,Native-born citizens,1445,142565,173156,0.8233327173184873
2022,LPNs/LVNs,Legal immigrants,252,30591,173156,0.17666728268151263
2022,LPNs/LVNs,Illegal immigrants,0,0,173156,0
2022,Personal care aides,Native-born citizens,631,69993,94705.04759413705,0.7390630360058347
2022,Personal care aides,Legal immigrants,140,20079,94705.04759413705,0.21201615447203512
2022,Personal care aides,Illegal immigrants,30,4633.0475941370605,94705.04759413705,0.04892080952213027
2022,Other healthcare practitioners,Native-born citizens,1029,99053,118489.95301053091,0.8359611720936084
2022,Other healthcare practitioners,Legal immigrants,156,17021,118489.95301053091,0.14364931006840084
2022,Other healthcare practitioners,Illegal immigrants,13,2415.9530105309104,118489.95301053091,0.02038951783799079
2022,Other healthcare support,Native-born citizens,464,44503,52168.89575380157,0.8530562005763185
2022,Other healthcare support,Legal immigrants,59,6304,52168.89575380157,0.12083828704656117
2022,Other healthcare support,Illegal immigrants,6,1361.8957538015686,52168.89575380157,0.02610551237712036
2022,Food preparation & serving,Native-born citizens,1020,98763,113874.33640471025,0.8672981386165497
2022,Food preparation & serving,Legal immigrants,104,12559,113874.33640471025,0.11028823874209215
2022,Food preparation & serving,Illegal immigrants,24,2552.336404710244,113874.33640471025,0.022413622641358114
2022,Building cleaning & maintenance,Native-born citizens,871,77182,96680.24004653808,0.7983223868998216
2022,Building cleaning & maintenance,Legal immigrants,124,14287,96680.24004653808,0.1477758018921219
2022,Building cleaning & maintenance,Illegal immigrants,41,5211.240046538084,96680.24004653808,0.05390181120805655
2022,Office & administrative support,Native-born citizens,860,77434,84619.83782895713,0.9150809312175482
2022,Office & administrative support,Legal immigrants,78,6562,84619.83782895713,0.07754682788761463
2022,Office & administrative support,Illegal immigrants,6,623.8378289571225,84619.83782895713,0.007372240894837115
2022,Management,Native-born citizens,1034,100354,111742.75522128225,0.8980805941402707
2022,Management,Legal immigrants,98,10089,111742.75522128225,0.09028773256951583
2022,Management,Illegal immigrants,9,1299.7552212822472,111742.75522128225,0.01163167329021344
2022,All other occupations,Native-born citizens,1709,159999,179339.21505319688,0.8921584716010937
2022,All other occupations,Legal immigrants,169,16544,179339.21505319688,0.09224976252456887
2022,All other occupations,Illegal immigrants,29,2796.215053196875,179339.21505319688,0.01559176587433731
2023,Nursing/psych/home health aides,Native-born citizens,3842,406882,511429.0673916239,0.7955785580885499
2023,Nursing/psych/home health aides,Legal immigrants,715,89395,511429.0673916239,0.17479452322866562
2023,Nursing/psych/home health aides,Illegal immigrants,108,15152.067391623941,511429.0673916239,0.02962691868278447
2023,Registered nurses,Native-born citizens,2327,214104,265030,0.8078481681319096
2023,Registered nurses,Legal immigrants,450,50926,265030,0.1921518318680904
2023,Registered nurses,Illegal immigrants,0,0,265030,0
2023,LPNs/LVNs,Native-born citizens,1364,124541,149204,0.8347028229806172
2023,LPNs/LVNs,Legal immigrants,229,24663,149204,0.16529717701938285
2023,LPNs/LVNs,Illegal immigrants,0,0,149204,0
2023,Personal care aides,Native-born citizens,659,73297,101005.0387597906,0.7256766682136954
2023,Personal care aides,Legal immigrants,189,21942,101005.0387597906,0.2172366870942181
2023,Personal care aides,Illegal immigrants,32,5766.038759790601,101005.0387597906,0.0570866446920866
2023,Other healthcare practitioners,Native-born citizens,994,96588,111687.86551764302,0.8648029895847751
2023,Other healthcare practitioners,Legal immigrants,140,14039,111687.86551764302,0.1256985253942587
2023,Other healthcare practitioners,Illegal immigrants,10,1060.8655176430177,111687.86551764302,0.009498485020966183
2023,Other healthcare support,Native-born citizens,432,46382,52365.70307388132,0.8857324026483693
2023,Other healthcare support,Legal immigrants,44,4764,52365.70307388132,0.09097557600398498
2023,Other healthcare support,Illegal immigrants,8,1219.703073881322,52365.70307388132,0.023292021347645745
2023,Food preparation & serving,Native-born citizens,1072,106174,125558.25412201438,0.8456154534995586
2023,Food preparation & serving,Legal immigrants,127,15624,125558.25412201438,0.12443626354358979
2023,Food preparation & serving,Illegal immigrants,28,3760.254122014372,125558.25412201438,0.029948282956851653
2023,Building cleaning & maintenance,Native-born citizens,971,93299,114697.70497125264,0.8134338871329996
2023,Building cleaning & maintenance,Legal immigrants,131,15662,114697.70497125264,0.13655024748686523
2023,Building cleaning & maintenance,Illegal immigrants,30,5736.704971252629,114697.70497125264,0.05001586538013514
2023,Office & administrative support,Native-born citizens,863,79032,88647.40000847566,0.8915320696652544
2023,Office & administrative support,Legal immigrants,80,9150,88647.40000847566,0.10321791726689289
2023,Office & administrative support,Illegal immigrants,4,465.4000084756561,88647.40000847566,0.005250013067852625
2023,Management,Native-born citizens,1013,95210,109255.4290805131,0.8714441085562653
2023,Management,Legal immigrants,123,14008,109255.4290805131,0.1282133081888054
2023,Management,Illegal immigrants,1,37.4290805130983,109255.4290805131,3.425832549292892e-4
2023,All other occupations,Native-born citizens,1683,144252,161107.72892919875,0.8953760378770763
