year,statefip,n,population
2016,18,1560,220236.6197363398
2016,19,591,102929.3692252579
2016,20,833,134302.59634522852
2016,21,700,93563.93762188099
2016,22,849,115204.89423179335
2016,23,161,23302.825693802788
2016,24,3446,475712.50877400936
2016,25,4342,549880.0936594792
2016,26,2384,337794.4652352457
2016,27,1114,222661.61895636257
2016,28,337,37817.68480852353
2016,29,1032,136438.95893456214
2016,30,92,12281.977607112747
2016,31,519,95118.2570616774
2016,32,2311,316620.4391908704
2016,33,286,36968.435995974796
2016,34,6982,942726.5472377125
2016,35,848,119034.4600446551
2016,36,15288,2098087.5268986775
2016,37,3499,485122.3202981784
2016,38,98,14460.091684964449
2016,39,1842,245399.10510073762
2016,40,1060,148416.8320521833
2016,41,1578,221236.73525726385
2016,42,2680,417186.0734227049
2016,44,528,69324.60089447335
2016,45,1144,154419.04873820447
2016,46,156,21461.968146580726
2016,47,1653,220009.2439640905
2016,48,22649,3087673.2505953745
2016,49,1063,157908.91885438637
2016,50,92,9262.822801209593
2016,51,3774,514921.71726163354
2016,53,4080,556638.4800882536
2016,54,153,19290.816800684883
2016,55,914,169505.8548801114
2016,56,97,13098.643226397282
2017,1,800,114349.10293385539
2017,2,177,25864.558552676353
2017,4,4381,548138.5809408268
2017,5,708,100599.7393468462
2017,6,43504,5262493.361474836
2017,8,2349,326774.01863795455
2017,9,2075,264185.4987512756
2017,10,351,49729.11327316368
2017,11,507,66641.68930844727
2017,12,14860,2018560.3776469303
2017,13,4572,627762.5908183203
2017,15,840,106489.94401254266
2017,16,410,56735.81038136678
2017,17,6538,932680.8666678722
2017,18,1547,229115.9917884201
2017,19,594,100922.43290942497
2017,20,814,122738.45177120237
2017,21,776,109493.52950158845
2017,22,915,117528.22015116263
2017,23,160,21111.36334557738
2017,24,3532,464170.96942095243
2017,25,4512,573931.9799986536
2017,26,2502,361456.807120497
2017,27,1195,229883.24710455292
2017,28,343,36847.58138013439
2017,29,987,132358.57909175925
2017,30,98,12798.470689528322
2017,31,546,91471.61983746602
2017,32,2416,312535.69771651854
2017,33,343,41973.749638917725
2017,34,7330,954136.1301586467
2017,35,811,113891.63439760488
2017,36,14996,2039054.6855911284
2017,37,3793,528921.9427424321
2017,38,115,20131.83922043164
2017,39,1990,263978.2983269331
2017,40,1053,153774.76600577572
2017,41,1648,226198.640491374
2017,42,2745,433957.90819328174
2017,44,473,65586.46019789287
2017,45,1145,143124.5185114476
2017,46,128,18285.24004356235
2017,47,1620,221362.98969887855
2017,48,23102,3163371.414208434
2017,49,1152,173285.7997780418
2017,50,104,15067.201694330459
2017,51,3797,527749.919615932
2017,53,4365,576092.9672286103
2017,54,142,14488.715603015191
2017,55,850,158178.20035281195
2017,56,84,13428.576608363896
2018,1,755,101965.06725577185
2018,2,165,20317.484140451004
2018,4,4034,539347.9668460294
2018,5,674,102522.07129302449
2018,6,42265,5161969.855383167
2018,8,2075,320807.71007610444
2018,9,2004,255379.6977824831
2018,10,371,50060.92695969056
2018,11,401,54994.304444709516
2018,12,14498,1992019.6790158278
2018,13,4406,613834.9538317999
2018,15,921,112861.78184636924
2018,16,371,61694.72064522711
2018,17,6243,912487.4454432554
2018,18,1463,224488.79290597106
2018,19,637,115317.53936372994
2018,20,801,126892.2489710102
2018,21,774,104183.0043992263
2018,22,903,117674.83971170319
2018,23,184,22635.63475094579
2018,24,3280,435227.9696412908
2018,25,4480,572063.7942559844
2018,26,2325,336041.16872938926
2018,27,1119,231314.4243935949
2018,28,354,48203.101157371646
2018,29,950,138376.43112815256
2018,30,79,9802.466711427824
2018,31,505,87721.000886619
2018,32,2339,300171.6642187268
2018,33,278,32778.06249500402
2018,34,6633,880153.9811490881
2018,35,761,121465.04409519931
2018,36,14550,1920247.9479784542
2018,37,3800,519990.18570115446
2018,38,111,22210.900321581343
2018,39,1865,267932.2150083361
2018,40,1006,154652.6365644733
2018,41,1592,234647.5494690291
2018,42,2746,444081.5115084296
2018,44,422,59487.032095876544
2018,45,1163,151588.83909793716
2018,46,92,16319.593507485435
2018,47,1649,226888.9487159331
2018,48,22713,3178382.638675437
2018,49,1120,169107.7712294137
2018,50,99,12158.796119229753
2018,51,3697,518582.43078185496
2018,53,4416,592304.0777645917
2018,54,85,12484.022282326983
2018,55,924,166867.89314878083
2018,56,65,11485.58771116373
2019,1,705,103767.1775761453
2019,2,131,19839.893445664067
2019,4,3839,551576.3804692127
2019,5,570,99065.02405977616
2019,6,40919,5037115.576023153
2019,8,1913,285893.9786703679
2019,9,1858,251666.95885842256
2019,10,340,51910.9135647692
