year,statefip,n_before,pop_before,n_after,pop_after,pop_change,pct_change
2019,15,159,21660,159,21660,0,0
2019,16,26,3726,26,3726,0,0
2019,17,666,96289,666,97111.28474595539,822.2847459553886,0.853975787426797
2019,18,142,21414,142,21414,0,0
2019,19,94,17941,94,17941,0,0
2019,20,50,6965,50,6965,0,0
2019,21,134,21307,134,21307,0,0
2019,22,112,14661,112,14661,0,0
2019,23,24,3147,24,3147,0,0
2019,24,515,65004,515,65004,0,0
2019,25,1108,183466,1108,183466,0,0
2019,26,341,57228,341,57228,0,0
2019,27,157,31514,157,31514,0,0
2019,28,8,879,8,879,0,0
2019,29,75,9373,75,9373,0,0
2019,30,11,1043,11,1043,0,0
2019,31,62,12554,62,12554,0,0
2019,32,249,34097,249,34097,0,0
2019,33,21,2597,21,2597,0,0
2019,34,875,118398,875,119888.8485116118,1490.8485116117954,1.2591838642644262
2019,35,145,23373,145,23373,0,0
2019,36,4413,574923,4413,577822.5699983119,2899.5699983119266,0.5043405809668298
2019,37,248,33808,248,33808,0,0
2019,38,5,2911,5,2911,0,0
2019,39,222,31417,222,31417,0,0
2019,40,77,9868,77,9868,0,0
2019,41,249,42383,249,43115.03881385152,732.0388138515191,1.7271991455336317
2019,42,373,70013,373,70013,0,0
2019,44,77,12356,77,12356,0,0
2019,45,71,9112,71,9112,0,0
2019,46,9,2001,9,2001,0,0
2019,47,125,16247,125,16247,0,0
2019,48,1831,257582,1831,257582,0,0
2019,49,43,5128,43,5128,0,0
2019,50,16,2105,16,2105,0,0
2019,51,294,40995,294,40995,0,0
2019,53,616,88289,616,89187.22936297934,898.2293629793421,1.0173740363797779
2019,54,4,941,4,941,0,0
2019,55,120,18073,120,18073,0,0
2019,56,1,33,1,33,0,0
2020,1,35,5908,35,5908,0,0
2020,2,13,3725,13,3725,0,0
2020,4,451,72069,451,72069,0,0
2020,5,67,9818,67,9818,0,0
2020,6,9419,1333224,9419,1343459.7836256619,10235.783625661861,0.7677467271562665
2020,8,214,31442,214,31442,0,0
2020,9,245,36918,245,37116.61812927674,198.61812927674328,0.5379980748598062
2020,10,24,4253,24,4253,0,0
2020,11,38,5776,38,5776,0,0
2020,12,947,191735,947,191735,0,0
2020,13,172,45067,172,45067,0,0
2020,15,141,14406,141,14406,0,0
2020,16,34,4328,34,4328,0,0
2020,17,631,85412,631,86434.00837585334,1022.0083758533438,1.1965629839523062
2020,18,167,30555,167,30555,0,0
2020,19,65,11180,65,11180,0,0
2020,20,35,7094,35,7094,0,0
2020,21,152,19954,152,19954,0,0
2020,22,106,9580,106,9580,0,0
2020,23,43,6146,43,6146,0,0
2020,24,441,64325,441,64325,0,0
2020,25,1034,167794,1034,167794,0,0
2020,26,377,53371,377,53371,0,0
2020,27,168,31369,168,31369,0,0
2020,28,16,1231,16,1231,0,0
2020,29,54,6815,54,6815,0,0
2020,30,7,949,7,949,0,0
2020,31,68,12051,68,12051,0,0
2020,32,183,26003,183,26003,0,0
2020,33,28,3888,28,3888,0,0
2020,34,803,118624,803,119903.24269298426,1279.2426929842622,1.0784012450973346
2020,35,142,21145,142,21145,0,0
2020,36,4177,574041,4177,576518.4860663336,2477.4860663336003,0.4315869539516516
2020,37,191,30168,191,30168,0,0
2020,38,5,3255,5,3255,0,0
2020,39,204,27452,204,27452,0,0
2020,40,64,7172,64,7172,0,0
2020,41,230,34749,230,35000.70071167119,251.70071167119022,0.724339439037642
2020,42,435,71452,435,71452,0,0
2020,44,101,20620,101,20620,0,0
2020,45,62,9655,62,9655,0,0
2020,46,5,975,5,975,0,0
2020,47,97,15742,97,15742,0,0
2020,48,1238,247107,1238,247107,0,0
2020,49,66,8487,66,8487,0,0
2020,50,11,2016,11,2016,0,0
2020,51,230,37636,230,37636,0,0
2020,53,539,82378,539,83689.28414290176,1311.2841429017571,1.5917892433680803
2020,54,14,1243,14,1243,0,0
